indiv,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
14ICL2,2.8,2.2,0.4,0.2,0.2,0.5,0.5,0.2,0.5,0.4
3IGA3,0.4,0.3,0.4,0.2,0.2,0.3,0.4,0.2,0.3,0.2
5IMR3,1.3,2.7,0.7,2.5,4.8,4.5,1.4,1,3.2,1.7
7IMR1,0.6,0.4,0.7,0.5,0.6,0.7,0.2,0.5,0.7,0.4
13OGA2,0.2,0.2,0.3,0.1,0.2,0.3,0.3,0.1,0.2,0.2
8IGA1,0.3,0.3,0.5,0.6,0.6,0.4,0.4,0.5,0.4,0.5
1OGA2,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2
5OGA3,0.4,0.5,0.3,0.5,0.9,0.3,0.4,0.7,0.3,0.2
14OGA2,0.2,0.2,0.2,0.5,0.2,0.3,0.2,0.5,0.4,0.5
7OMR1,0.5,0.5,0.5,0.8,0.3,0.3,0.5,0.9,1.2,0.6
4OSC2,0.6,1.1,0.6,1,1,0.7,0.5,0.5,0.5,0.9
7OCL3,3.6,1.9,4,0.2,0.3,0.4,1.8,1.9,0.7,1.7
5OSC1,1,0.9,0.8,0.8,1.2,1.1,0.4,1.8,0.8,1.1
4IMR1,1.5,1.3,1.4,2.1,0.9,0.2,4,6,5,2
13IGA2,0.2,0.3,0.3,0.1,0.2,0.3,0.2,0.3,0.1,0.2
8OGA1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.1
1ISC3,1.3,1.1,1.2,1.6,1.2,0.4,0.4,0.9,0.8,0.3
5OMR1,0.7,0.8,0.7,1.2,1.4,2,1,1.2,1.8,1
1OSC2,0.9,0.7,0.8,0.5,0.7,1.1,0.7,0.7,1.3,0.7
1ISC1,0.8,0.5,1.2,1,1.6,1,0.4,0.8,1,1
2OAH2,3.4,1.7,2.4,1.6,1.9,2.2,0.6,0.5,0.7,0.2
1OCL1,2.6,2,1.2,4.8,4,6,3.5,4,5,6
3IMR1,1.5,0.5,1.2,1.5,1.4,2,1.2,0.8,1.1,0.7
4OSC1,1,1.6,0.5,0.5,0.4,0.8,1,0.4,0.6,0.8
8ISC1,0.6,1.6,1.6,1.4,0.4,1,1.4,1,1.6,1.6
14ISC2,0.4,0.4,0.6,0.8,1,0.8,0.8,0.7,1.2,0.8
4OGA3,0.2,0.3,0.3,0.2,0.3,0.1,0.1,0.3,0.2,0.1
4IGA3,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2
1OSC3,0.3,0.5,0.4,0.3,1.1,0.8,0.4,0.5,0.4,0.2
7ISC1,1.1,1.1,1.2,1.4,0.6,1,1.2,1.7,1.8,1.1
7ISC3,1.5,0.6,0.8,1.2,1.1,1.3,1.7,1.4,1.7,1
8ISC2,0.8,1,1.2,0.8,1,1.8,1,0.8,0.7,1
