Pop	Location	Species	Length_plant
5	out	Acer_saccharum	6
5	in	Gallium_aparine	47
5	in	Geranium_robertinum	15
5	in	Maianthemum_racemosum	12
5	in	Solidago_canadensis	54
5	in	Anemone_hepatica	14
5	in	Acer_saccharum	10
5	out	Solidago_canadensis	39
5	out	Geranium_robertinum	30
5	out	Anemone_hepatica	17
5	out	Gallium_aparine	41
5	out	Maianthemum_racemosum	21
5	out	Circaea_lutetiana	23
5	out	Acer_saccharum	7
5	in	Gallium_aparine	39
5	in	Geranium_robertinum	19
5	in	Maianthemum_racemosum	20
5	in	Solidago_canadensis	37
5	in	Anemone_hepatica	16
5	in	Acer_saccharum	7
